Date,CL=F,GC=F,^FTSE,^GSPC,^NSEI
2017-10-23,51.900001525878906,1277.699951171875,7524.5,2564.97998046875,10184.849609375
2017-10-24,52.470001220703125,1275.0,7526.5,2569.1298828125,10207.7001953125
2017-10-25,52.18000030517578,1275.4000244140625,7447.2001953125,2557.14990234375,10295.349609375
2017-10-26,52.63999938964844,1266.300048828125,7486.5,2560.39990234375,10343.7998046875
2017-10-27,53.900001525878906,1268.5,7505.0,2581.070068359375,10323.0498046875
2017-10-30,54.150001525878906,1274.0999755859375,7487.7998046875,2572.830078125,10363.650390625
2017-10-31,54.380001068115234,1267.0,7493.10009765625,2575.260009765625,10335.2998046875
2017-11-01,54.29999923706055,1274.0999755859375,7488.0,2579.360107421875,10440.5
2017-11-02,54.540000915527344,1274.9000244140625,7555.2998046875,2579.85009765625,10423.7998046875
2017-11-03,55.63999938964844,1266.5,7560.39990234375,2587.840087890625,10452.5
2017-11-06,57.349998474121094,1279.4000244140625,7562.2998046875,2591.1298828125,10451.7998046875
2017-11-07,57.20000076293945,1273.699951171875,7513.10009765625,2590.639892578125,10350.150390625
2017-11-08,56.810001373291016,1281.5999755859375,7529.7001953125,2594.3798828125,10303.150390625
2017-11-09,57.16999816894531,1285.5999755859375,7484.10009765625,2584.6201171875,10308.9501953125
2017-11-10,56.7400016784668,1272.4000244140625,7433.0,2582.300048828125,10321.75
2017-11-13,56.7599983215332,1277.300048828125,7415.2001953125,2584.840087890625,10224.9501953125
2017-11-14,55.70000076293945,1281.5,7414.39990234375,2578.8701171875,10186.599609375
2017-11-15,55.33000183105469,1276.5,7372.60009765625,2564.6201171875,10118.0498046875
2017-11-16,55.13999938964844,1277.4000244140625,7386.89990234375,2585.639892578125,10214.75
2017-11-17,56.54999923706055,1295.800048828125,7380.7001953125,2578.85009765625,10283.599609375
2017-11-20,56.09000015258789,1274.5999755859375,7389.5,2582.139892578125,10298.75
2017-11-21,56.83000183105469,1281.0999755859375,7411.2998046875,2599.030029296875,10326.900390625
2017-11-22,58.02000045776367,1291.5999755859375,7419.0,2597.080078125,10342.2998046875
2017-11-23,,,7417.2001953125,,10348.75
2017-11-24,58.95000076293945,1286.699951171875,7409.60009765625,2602.419921875,10389.7001953125
2017-11-27,58.11000061035156,1293.800048828125,7383.89990234375,2601.419921875,10399.5498046875
2017-11-28,57.9900016784668,1294.699951171875,7460.7001953125,2627.0400390625,10370.25
2017-11-29,57.29999923706055,1282.0999755859375,7393.60009765625,2626.070068359375,10361.2998046875
2017-11-30,57.400001525878906,1273.199951171875,7326.7001953125,2647.580078125,10226.5498046875
2017-12-01,58.36000061035156,1278.800048828125,7300.5,2642.219970703125,10121.7998046875
2017-12-04,57.470001220703125,1274.300048828125,7339.0,2639.43994140625,10127.75
2017-12-05,57.619998931884766,1261.5999755859375,7327.5,2629.570068359375,10118.25
2017-12-06,55.959999084472656,1262.800048828125,7348.0,2629.27001953125,10044.099609375
2017-12-07,56.689998626708984,1249.800048828125,7320.7998046875,2636.97998046875,10166.7001953125
2017-12-08,57.36000061035156,1245.199951171875,7394.0,2651.5,10265.650390625
2017-12-11,57.9900016784668,1243.699951171875,7453.5,2659.989990234375,10322.25
2017-12-12,57.13999938964844,1238.5,7500.39990234375,2664.110107421875,10240.150390625
2017-12-13,56.599998474121094,1245.4000244140625,7496.5,2662.85009765625,10192.9501953125
2017-12-14,57.040000915527344,1253.800048828125,7448.10009765625,2652.010009765625,10252.099609375
2017-12-15,57.29999923706055,1254.300048828125,7490.60009765625,2675.81005859375,10333.25
2017-12-18,57.15999984741211,1262.199951171875,7537.0,2690.159912109375,10388.75
2017-12-19,57.459999084472656,1260.699951171875,7544.10009765625,2681.469970703125,10463.2001953125
2017-12-20,58.09000015258789,1266.0999755859375,7525.2001953125,2679.25,10444.2001953125
2017-12-21,58.36000061035156,1267.300048828125,7604.0,2684.570068359375,10440.2998046875
2017-12-22,58.470001220703125,1275.4000244140625,7592.7001953125,2683.340087890625,10493.0
2017-12-26,59.970001220703125,1284.0999755859375,,2680.5,10531.5
2017-12-27,59.63999938964844,1287.0,7620.7001953125,2682.6201171875,10490.75
2017-12-28,59.84000015258789,1294.0999755859375,7622.89990234375,2687.5400390625,10477.900390625
2017-12-29,60.41999816894531,1306.300048828125,7687.7998046875,2673.610107421875,10530.7001953125
2018-01-02,60.369998931884766,1313.699951171875,7648.10009765625,2695.81005859375,10442.2001953125
2018-01-03,61.630001068115234,1316.199951171875,7671.10009765625,2713.06005859375,10443.2001953125
2018-01-04,62.0099983215332,1319.4000244140625,7695.89990234375,2723.989990234375,10504.7998046875
2018-01-05,61.439998626708984,1320.300048828125,7724.2001953125,2743.14990234375,10558.849609375
2018-01-08,61.72999954223633,1318.5999755859375,7696.5,2747.7099609375,10623.599609375
2018-01-09,62.959999084472656,1311.699951171875,7731.0,2751.2900390625,10637.0
2018-01-10,63.56999969482422,1317.4000244140625,7748.5,2748.22998046875,10632.2001953125
2018-01-11,63.79999923706055,1320.5999755859375,7762.89990234375,2767.56005859375,10651.2001953125
2018-01-12,64.30000305175781,1333.4000244140625,7778.60009765625,2786.239990234375,10681.25
2018-01-15,,,7769.10009765625,,10741.5498046875
2018-01-16,63.72999954223633,1335.4000244140625,7755.89990234375,2776.419921875,10700.4501953125
2018-01-17,63.970001220703125,1338.0,7725.39990234375,2802.56005859375,10788.5498046875
2018-01-18,63.95000076293945,1326.0,7701.0,2798.030029296875,10817.0
2018-01-19,63.369998931884766,1331.9000244140625,7730.7998046875,2810.300048828125,10894.7001953125
2018-01-22,63.4900016784668,1330.9000244140625,7715.39990234375,2832.969970703125,10966.2001953125
2018-01-23,64.47000122070312,1335.699951171875,7731.7998046875,2839.1298828125,11083.7001953125
2018-01-24,65.61000061035156,1355.9000244140625,7643.39990234375,2837.5400390625,11086.0
2018-01-25,65.51000213623047,1362.4000244140625,7615.7998046875,2839.25,11069.650390625
2018-01-26,66.13999938964844,1351.5999755859375,7665.5,2872.8701171875,
2018-01-29,65.55999755859375,,7671.5,2853.530029296875,11130.400390625
2018-01-30,64.5,1335.4000244140625,7588.0,2822.429931640625,11049.650390625
2018-01-31,64.7300033569336,1339.0,7533.60009765625,2823.81005859375,11027.7001953125
2018-02-01,65.80000305175781,1344.300048828125,7490.39990234375,2821.97998046875,11016.900390625
2018-02-02,65.44999694824219,1333.699951171875,7443.39990234375,2762.1298828125,10760.599609375
2018-02-05,64.1500015258789,1333.0,7335.0,2648.93994140625,10666.5498046875
2018-02-06,63.38999938964844,1326.0999755859375,7141.39990234375,2695.139892578125,10498.25
2018-02-07,61.790000915527344,1311.5999755859375,7279.39990234375,2681.659912109375,10476.7001953125
2018-02-08,61.150001525878906,1316.9000244140625,7170.7001953125,2581.0,10576.849609375
2018-02-09,59.20000076293945,1313.0999755859375,7092.39990234375,2619.550048828125,10454.9501953125
2018-02-12,59.290000915527344,1324.199951171875,7177.10009765625,2656.0,10539.75
2018-02-13,59.189998626708984,1328.0999755859375,7168.0,2662.93994140625,
2018-02-14,60.599998474121094,1355.5,7214.0,2698.6298828125,10500.900390625
2018-02-15,61.34000015258789,1352.0999755859375,7234.7998046875,2731.199951171875,10545.5
2018-02-16,61.68000030517578,1353.199951171875,7294.7001953125,2732.219970703125,10452.2998046875
2018-02-19,,,7247.7001953125,,10378.400390625
2018-02-20,61.900001525878906,1328.800048828125,7246.7998046875,2716.260009765625,10360.400390625
2018-02-21,61.68000030517578,1330.0,7281.60009765625,2701.330078125,10397.4501953125
2018-02-22,62.77000045776367,1330.5999755859375,7252.39990234375,2703.9599609375,10382.7001953125
2018-02-23,63.54999923706055,1328.199951171875,7244.39990234375,2747.300048828125,10491.0498046875
2018-02-26,63.90999984741211,1330.699951171875,7289.60009765625,2779.60009765625,10582.599609375
2018-02-27,63.0099983215332,1315.5,7282.5,2744.280029296875,10554.2998046875
2018-02-28,61.63999938964844,1315.5,7231.89990234375,2713.830078125,10492.849609375
2018-03-01,60.9900016784668,1302.9000244140625,7175.60009765625,2677.669921875,10458.349609375
2018-03-02,61.25,1321.0999755859375,7069.89990234375,2691.25,
2018-03-05,62.56999969482422,1318.0999755859375,7116.0,2720.93994140625,10358.849609375
2018-03-06,62.599998474121094,1333.5999755859375,7146.7998046875,2728.1201171875,10249.25
2018-03-07,61.150001525878906,1326.0,7157.7998046875,2726.800048828125,10154.2001953125
2018-03-08,60.119998931884766,1319.9000244140625,7203.2001953125,2738.969970703125,10242.650390625
2018-03-09,62.040000915527344,1322.4000244140625,7224.5,2786.570068359375,10226.849609375
2018-03-12,61.36000061035156,1319.4000244140625,7214.7998046875,2783.02001953125,10421.400390625
